year,month,average_ppb
1983,7,1626.05
1983,8,1628.02
1983,9,1638.42
1983,10,1644.81
1983,11,1642.6
1983,12,1639.53
1984,1,1638.74
1984,2,1638.8
1984,3,1640.86
1984,4,1643.98
1984,5,1643.13
1984,6,1639.74
1984,7,1638.01
1984,8,1641.69
1984,9,1650.61
1984,10,1654.6
1984,11,1653.78
1984,12,1656.2
1985,1,1655.6
1985,2,1652.23
1985,3,1654.61
1985,4,1658.2
1985,5,1655.86
1985,6,1650.05
1985,7,1646.83
1985,8,1652.23
1985,9,1662.48
1985,10,1667.51
1985,11,1666.81
1985,12,1666.06
1986,1,1666.29
1986,2,1666.91
1986,3,1669.26
1986,4,1670.81
1986,5,1668.44
1986,6,1664.77
1986,7,1662.35
1986,8,1664.36
1986,9,1672.56
1986,10,1678.68
1986,11,1678.97
1986,12,1679.12
1987,1,1679.43
1987,2,1679.02
1987,3,1680.01
1987,4,1681.37
1987,5,1681.85
1987,6,1679.98
1987,7,1676
1987,8,1677.18
1987,9,1685.58
1987,10,1691.55
1987,11,1691.19
1987,12,1690.51
1988,1,1691.99
1988,2,1692.53
1988,3,1691.29
1988,4,1690.07
1988,5,1689.09
1988,6,1687.19
1988,7,1686.04
1988,8,1689.43
1988,9,1696.11
1988,10,1701.15
1988,11,1702.84
1988,12,1701.9
1989,1,1700.55
1989,2,1701.11
1989,3,1702.49
1989,4,1703.59
1989,5,1703.35
1989,6,1700.2
1989,7,1698.22
1989,8,1701.96
1989,9,1707.16
1989,10,1710.53
1989,11,1713.11
1989,12,1713.22
1990,1,1712.15
1990,2,1713.49
1990,3,1714.35
1990,4,1712.54
1990,5,1710.63
1990,6,1708.45
1990,7,1706.58
1990,8,1710.22
1990,9,1717.58
1990,10,1722.03
1990,11,1723.46
1990,12,1723.32
1991,1,1721.77
1991,2,1721.42
1991,3,1722.09
1991,4,1722.38
1991,5,1722.07
1991,6,1718.85
1991,7,1715.94
1991,8,1719.05
1991,9,1726.01
1991,10,1732.79
1991,11,1737.53
1991,12,1739.57
1992,1,1738.92
1992,2,1737.31
1992,3,1736.8
1992,4,1736.66
1992,5,1735.04
1992,6,1731.58
1992,7,1728.81
