econ_sector,econ_subsector,sector,subsector,category,sub_category_1,sub_category_2,sub_category_3,sub_category_4,sub_category_5,carbon_pool,fuel1,fuel2,geo_ref,units,ghg,ghg_category,gwp,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022
Agriculture,Carbon Dioxide from Fossil Fuel Combustion,Agriculture,Fossil Fuel Combustion,Agriculture,Mobile Non-Highway Farm Equipment,,,,,,,,AK,Tg,Carbon Dioxide,CO2,1,0.002973893,0.003451388,0.003298143,0.009088206,0.008656821,0.009506854,0.007891691,0.008312345,0.002684558,0.004497839,0.004801008,0.00846274,0.009349474,0.011151097,0.013219146,0.012812254,0.014046808,0.004959634,0.003913987,0.0058685,0.018367041,0.019042438,0.020551274,0.021973356,0.020587805,0.003934364,0.004711655,0.003303087,0.004552781,0.00374972,0.004007533,0.004093521,0.004038773
Agriculture,Carbon Dioxide from Fossil Fuel Combustion,Agriculture,Fossil Fuel Combustion,Agriculture,Mobile Non-Highway Farm Equipment,,,,,,,,AL,Tg,Carbon Dioxide,CO2,1,0.637306757,0.44659673,0.462840494,0.540045126,0.542573511,0.67566443,0.549230498,0.543911401,0.452771953,0.382973185,0.340319018,0.388377852,0.410697664,0.530859245,0.644575563,0.679343655,0.701636268,0.718579203,0.708934303,0.553163412,0.371712712,0.427514812,0.43144709,0.405321073,0.340277042,0.299992817,0.389062519,0.319967222,0.376199849,0.386686896,0.345479672,0.352673011,0.34795623
Agriculture,Carbon Dioxide from Fossil Fuel Combustion,Agriculture,Fossil Fuel Combustion,Agriculture,Mobile Non-Highway Farm Equipment,,,,,,,,AR,Tg,Carbon Dioxide,CO2,1,0.753731353,0.719748716,0.990321663,0.932443517,0.92831079,1.304145437,1.122854223,1.195119148,1.337162672,1.097522142,1.118786925,1.273127008,1.314063608,2.075385292,2.423540271,2.895305113,2.926180533,2.771134439,2.527484525,1.138089375,1.41608221,1.333603483,1.347634477,1.488774994,1.333659547,1.203422661,1.228332217,0.916704155,1.130033607,1.070652975,1.032991224,1.052541614,1.038464528
Agriculture,Carbon Dioxide from Fossil Fuel Combustion,Agriculture,Fossil Fuel Combustion,Agriculture,Mobile Non-Highway Farm Equipment,,,,,,,,AZ,Tg,Carbon Dioxide,CO2,1,0.380994867,0.267701314,0.259089203,0.238367948,0.279801446,0.339375232,0.316829402,0.359516614,0.315362556,0.342851577,0.280317971,0.36417227,0.403935763,0.250553293,0.23491519,0.261989847,0.28961416,0.267845211,0.387810778,0.49807109,0.58631214,0.648950953,0.608510462,0.582440776,0.598183777,0.449419097,0.566802478,0.490579221,0.400804367,0.437455263,0.392027528,0.398904696,0.393569595
Agriculture,Carbon Dioxide from Fossil Fuel Combustion,Agriculture,Fossil Fuel Combustion,Agriculture,Mobile Non-Highway Farm Equipment,,,,,,,,CA,Tg,Carbon Dioxide,CO2,1,3.910308504,3.47899853,3.664056533,3.71720304,3.933247141,3.14312471,3.367649405,4.092854475,3.953924485,4.145793675,4.176496898,4.126296862,3.977815927,3.534485303,4.440907067,4.374770877,4.835444672,3.603793242,3.933159769,2.932382159,3.62422923,3.984139876,4.142218332,4.009574474,4.711126518,4.518358906,3.9141112,3.82517657,3.540273485,3.216633821,3.076691171,3.134477685,3.092556006
Agriculture,Carbon Dioxide from Fossil Fuel Combustion,Agriculture,Fossil Fuel Combustion,Agriculture,Mobile Non-Highway Farm Equipment,,,,,,,,CO,Tg,Carbon Dioxide,CO2,1,0.619574679,0.629731969,0.849473661,0.786249336,0.731494997,0.704922457,0.803913649,0.800711269,0.80114375,0.583802649,0.562717032,0.5744379,0.604754875,0.719242562,0.662868095,0.687410157,0.713975384,0.703311089,0.71855372,0.677960111,0.723196609,0.746825795,0.654151882,0.542205489,0.62467014,0.534100141,0.45788369,0.483513407,0.516290171,0.574038263,0.50176884,0.512943983,0.506083678
Agriculture,Carbon Dioxide from Fossil Fuel Combustion,Agriculture,Fossil Fuel Combustion,Agriculture,Mobile Non-Highway Farm Equipment,,,,,,,,CT,Tg,Carbon Dioxide,CO2,1,0.030883137,0.042828558,0.06874199,0.072792114,0.061071626,0.06542409,0.038631821,0.042740729,0.043511507,0.075856467,0.079264411,0.090603546,0.112849423,0.123843584,0.125443812,0.09977223,0.124945133,0.074892774,0.04836269,0.051596972,0.085683553,0.089869576,0.093611836,0.083655025,0.079247878,0.031868688,0.033209259,0.041394647,0.039977685,0.034793632,0.033136042,0.033844186,0.033391541
Agriculture,Carbon Dioxide from Fossil Fuel Combustion,Agriculture,Fossil Fuel Combustion,Agriculture,Mobile Non-Highway Farm Equipment,,,,,,,,DC,Tg,Carbon Dioxide,CO2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Agriculture,Carbon Dioxide from Fossil Fuel Combustion,Agriculture,Fossil Fuel Combustion,Agriculture,Mobile Non-Highway Farm Equipment,,,,,,,,DE,Tg,Carbon Dioxide,CO2,1,0.086147327,0.102542614,0.068249874,0.055647922,0.06112553,0.045416101,0.06726654,0.065247797,0.0863583,0.083111305,0.085052796,0.077399996,0.094510984,0.090742804,0.093815712,0.107843051,0.097259667,0.099431933,0.063938837,0.096057653,0.134392289,0.155273922,0.136659654,0.131312667,0.133068595,0.101968414,0.09800584,0.089962395,0.087502965,0.097159217,0.081855483,0.08347923,0.082362747
Agriculture,Carbon Dioxide from Fossil Fuel Combustion,Agriculture,Fossil Fuel Combustion,Agriculture,Mobile Non-Highway Farm Equipment,,,,,,,,FL,Tg,Carbon Dioxide,CO2,1,0.715604013,0.656688211,0.710958673,0.855238955,0.788350999,0.838632527,0.898083158,0.951648658,1.201331152,1.422883206,1.314862072,1.434036971,1.616324774,2.088220332,1.409419853,1.470334025,1.586231784,1.013021889,1.019969,1.28263324,2.770165046,1.63342055,1.563758256,1.715869233,1.37129066,1.229912474,1.229865955,1.219701372,1.13524132,0.99400541,0.671239926,0.683562648,0.674420425
