year,month,average_ppb
2001,1,316.3
2001,2,316.31
2001,3,316.21
2001,4,316.12
2001,5,316.11
2001,6,316.16
2001,7,316.23
2001,8,316.3
2001,9,316.41
2001,10,316.59
2001,11,316.76
2001,12,316.87
2002,1,316.93
2002,2,316.97
2002,3,316.96
2002,4,316.9
2002,5,316.85
2002,6,316.83
2002,7,316.82
2002,8,316.82
2002,9,316.87
2002,10,316.99
2002,11,317.13
2002,12,317.24
2003,1,317.29
2003,2,317.34
2003,3,317.41
2003,4,317.48
2003,5,317.52
2003,6,317.53
2003,7,317.56
2003,8,317.63
2003,9,317.77
2003,10,317.93
2003,11,318.04
2003,12,318.11
2004,1,318.18
2004,2,318.19
2004,3,318.16
2004,4,318.14
2004,5,318.14
2004,6,318.13
2004,7,318.13
2004,8,318.17
2004,9,318.22
2004,10,318.34
2004,11,318.56
2004,12,318.76
2005,1,318.87
2005,2,318.89
2005,3,318.86
2005,4,318.78
2005,5,318.66
2005,6,318.59
2005,7,318.65
2005,8,318.77
2005,9,318.9
2005,10,319.11
2005,11,319.36
2005,12,319.57
2006,1,319.73
2006,2,319.8
2006,3,319.77
2006,4,319.7
2006,5,319.69
2006,6,319.66
2006,7,319.63
2006,8,319.68
2006,9,319.82
2006,10,320
2006,11,320.16
2006,12,320.27
2007,1,320.36
2007,2,320.38
2007,3,320.28
2007,4,320.19
2007,5,320.22
2007,6,320.25
2007,7,320.18
2007,8,320.23
2007,9,320.46
2007,10,320.74
2007,11,320.96
2007,12,321.16
2008,1,321.33
2008,2,321.39
2008,3,321.38
2008,4,321.39
2008,5,321.43
2008,6,321.46
2008,7,321.43
2008,8,321.4
2008,9,321.49
2008,10,321.65
2008,11,321.8
2008,12,321.97
2009,1,322.21
2009,2,322.34
2009,3,322.26
2009,4,322.1
2009,5,321.98
2009,6,321.94
2009,7,322.02
2009,8,322.15
2009,9,322.3
2009,10,322.51
2009,11,322.71
2009,12,322.84
2010,1,322.91
2010,2,322.93
2010,3,322.94
2010,4,322.97
2010,5,323
2010,6,323
2010,7,323.02
2010,8,323.1
2010,9,323.26
2010,10,323.5
2010,11,323.75
2010,12,323.92
2011,1,324.03
2011,2,324.07
2011,3,324.07
2011,4,324.07
2011,5,324.05
2011,6,324.05
2011,7,324.06
2011,8,324.1
2011,9,324.24
2011,10,324.45
2011,11,324.64
2011,12,324.77
2012,1,324.9
2012,2,324.97
2012,3,324.95
2012,4,324.92
2012,5,324.9
2012,6,324.86
2012,7,324.87
2012,8,324.97
2012,9,325.12
2012,10,325.28
2012,11,325.43
2012,12,325.53
2013,1,325.58
2013,2,325.63
2013,3,325.68
2013,4,325.74
2013,5,325.81
2013,6,325.9
2013,7,325.96
2013,8,325.98
2013,9,326.05
2013,10,326.2
2013,11,326.38
2013,12,326.52
2014,1,326.61
2014,2,326.66
2014,3,326.72
2014,4,326.79
2014,5,326.83
2014,6,326.89
2014,7,327.03
2014,8,327.19
2014,9,327.34
2014,10,327.52
2014,11,327.72
2014,12,327.87
2015,1,327.98
2015,2,328.04
2015,3,328.04
2015,4,327.98
2015,5,327.93
2015,6,327.95
2015,7,328.03
2015,8,328.12
2015,9,328.24
2015,10,328.42
2015,11,328.61
2015,12,328.77
2016,1,328.87
2016,2,328.9
2016,3,328.88
2016,4,328.88
2016,5,328.91
2016,6,328.91
2016,7,328.84
2016,8,328.78
2016,9,328.86
2016,10,329.05
2016,11,329.23
2016,12,329.36
2017,1,329.46
2017,2,329.52
2017,3,329.54
2017,4,329.53
2017,5,329.51
2017,6,329.58
2017,7,329.7
2017,8,329.79
2017,9,329.87
2017,10,330.01
2017,11,330.15
2017,12,330.29
2018,1,330.45
2018,2,330.6
2018,3,330.69
2018,4,330.71
2018,5,330.7
2018,6,330.7
2018,7,330.75
2018,8,330.88
2018,9,331.08
2018,10,331.29
2018,11,331.48
2018,12,331.68
2019,1,331.78
2019,2,331.75
2019,3,331.67
2019,4,331.62
2019,5,331.64
2019,6,331.73
2019,7,331.84
2019,8,331.88
2019,9,331.93
2019,10,332.08
2019,11,332.26
2019,12,332.4
2020,1,332.5
2020,2,332.55
2020,3,332.61
2020,4,332.69
2020,5,332.77
2020,6,332.87
2020,7,332.99
2020,8,333.11
2020,9,333.24
2020,10,333.41
2020,11,333.61
2020,12,333.76
2021,1,333.88
2021,2,333.96
2021,3,334.01
2021,4,334.06
2021,5,334.1
2021,6,334.13
2021,7,334.15
2021,8,334.23
2021,9,334.4
2021,10,334.62
2021,11,334.84
2021,12,335.04
2022,1,335.21
2022,2,335.31
2022,3,335.38
2022,4,335.43
2022,5,335.45
2022,6,335.48
2022,7,335.54
2022,8,335.63
2022,9,335.75
2022,10,335.92
2022,11,336.12
2022,12,336.29
2023,1,336.41
2023,2,336.49
2023,3,336.53
2023,4,336.54
2023,5,336.54
2023,6,336.56
2023,7,336.6
2023,8,336.65
2023,9,336.73
2023,10,336.89
2023,11,337.09
2023,12,337.3
2024,1,337.46
2024,2,337.54
2024,3,337.56
2024,4,337.6
2024,5,337.66
2024,6,337.69
2024,7,337.66
2024,8,337.62
2024,9,337.67
2024,10,337.85
2024,11,338.08
2024,12,338.29
2025,1,338.43
2025,2,338.51
2025,3,338.59
2025,4,338.64
2025,5,338.65
2025,6,338.67
2025,7,338.75
2025,8,338.85
2025,9,338.98
2025,10,339.2
2025,11,339.46
2025,12,339.64
2026,1,339.72
2026,2,339.75
2026,3,339.76
2026,4,339.78
